127,7.6022,3.93921
125,10.0348,4.56021
137.5,7.09843,4.71748
150,5.18086,4.88807
162.5,3.87181,5.05257
175,2.95328,5.22838
187.5,2.2927,5.4131
200,1.80724,5.60278
212.5,1.44311,5.76016
225,1.16533,5.9156
237.5,0.950632,6.0691
250,0.78247,6.22103
262.5,0.649378,6.37134
275,0.542891,6.52048
287.5,0.456963,6.66837
300,0.386913,6.81497
312.5,0.329465,6.95585
325,0.281966,7.09677
337.5,0.242466,7.23758
350,0.209402,7.37841
362.5,0.18159,7.5191
375,0.158063,7.66032
387.5,0.138077,7.8022
400,0.120997,7.97131
412.5,0.106371,8.09341
425,0.0937763,8.21762
437.5,0.0828925,8.34382
450,0.0734555,8.47188
462.5,0.065254,8.60149
475,0.058098,8.73273
487.5,0.0518366,8.86551
500,0.0463433,8.99972
512.5,0.0415153,9.13511
525,0.037258,9.27178
537.5,0.0334954,9.40965
550,0.0301627,9.54865
562.5,0.0272067,9.68854
575,0.0245775,9.82944
587.5,0.0222344,9.9713
600,0.0201294,10.1139
612.5,0.01826,10.2047
625,0.0165833,10.2988
637.5,0.0150771,10.3961
650,0.0137223,10.4963
662.5,0.0125028,10.5994
675,0.0114028,10.7053
687.5,0.0104094,10.8138
700,0.00951122,10.9248
712.5,0.00869867,11.0382
725,0.00796229,11.1539
737.5,0.0072942,11.2719
750,0.00668746,11.3921
762.5,0.00613621,11.5142
775,0.00563455,11.6383
787.5,0.00517761,11.7644
800,0.00470305,11.7615
812.5,0.00434841,11.8709
825,0.00402016,11.9803
837.5,0.00371638,12.0898
850,0.00343525,12.1994
862.5,0.00317526,12.3089
875,0.00293472,12.4186
887.5,0.00271218,12.5295
900,0.00250633,12.6405
912.5,0.00231602,12.7516
925,0.00214001,12.8628
937.5,0.00197724,12.9741
950,0.00182672,13.0856
962.5,0.00168761,13.197
975,0.001559,13.3086
987.5,0.00144009,13.4202
1000,0.00133828,13.3411
1012.5,0.00124459,13.3954
1025,0.00115739,13.4496
1037.5,0.00107624,13.5037
1050,0.00100071,13.5577
1062.5,0.00093047,13.6115
1075,0.000865108,13.6653
1087.5,0.000804293,13.7189
1100,0.000747713,13.7724
1112.5,0.000695101,13.8258
